date,year,month,region,region_label,longitude,latitude,sst_anomaly,enso_phase,source
1999-02,1999,2,nino_34,Nino 3.4,210,0,-1.891,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-02,1999,2,eastern_pacific,Eastern Pacific,250,0,-1.283,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-03,1999,3,western_pacific,Western Pacific,145,0,-0.043,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-03,1999,3,central_pacific,Central Pacific,190,0,-1.627,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-03,1999,3,nino_34,Nino 3.4,210,0,-1.245,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-03,1999,3,eastern_pacific,Eastern Pacific,250,0,-1.005,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-04,1999,4,western_pacific,Western Pacific,145,0,-0.076,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-04,1999,4,central_pacific,Central Pacific,190,0,-1.792,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-04,1999,4,nino_34,Nino 3.4,210,0,-1.436,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-04,1999,4,eastern_pacific,Eastern Pacific,250,0,-0.835,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-05,1999,5,western_pacific,Western Pacific,145,0,-0.312,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-05,1999,5,central_pacific,Central Pacific,190,0,-1.788,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-05,1999,5,nino_34,Nino 3.4,210,0,-1.757,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-05,1999,5,eastern_pacific,Eastern Pacific,250,0,-1.354,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-06,1999,6,western_pacific,Western Pacific,145,0,-0.356,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-06,1999,6,central_pacific,Central Pacific,190,0,-1.891,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-06,1999,6,nino_34,Nino 3.4,210,0,-1.545,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-06,1999,6,eastern_pacific,Eastern Pacific,250,0,-1.783,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-07,1999,7,western_pacific,Western Pacific,145,0,-0.773,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-07,1999,7,central_pacific,Central Pacific,190,0,-1.825,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-07,1999,7,nino_34,Nino 3.4,210,0,-0.799,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-07,1999,7,eastern_pacific,Eastern Pacific,250,0,-1.372,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-08,1999,8,western_pacific,Western Pacific,145,0,-0.562,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-08,1999,8,central_pacific,Central Pacific,190,0,-1.109,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-08,1999,8,nino_34,Nino 3.4,210,0,-0.521,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-08,1999,8,eastern_pacific,Eastern Pacific,250,0,-1.801,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-09,1999,9,western_pacific,Western Pacific,145,0,-0.376,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-09,1999,9,central_pacific,Central Pacific,190,0,-0.572,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-09,1999,9,nino_34,Nino 3.4,210,0,-0.270,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-09,1999,9,eastern_pacific,Eastern Pacific,250,0,-0.799,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-10,1999,10,western_pacific,Western Pacific,145,0,-0.154,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-10,1999,10,central_pacific,Central Pacific,190,0,-0.771,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-10,1999,10,nino_34,Nino 3.4,210,0,-0.794,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-10,1999,10,eastern_pacific,Eastern Pacific,250,0,-0.912,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-11,1999,11,western_pacific,Western Pacific,145,0,-0.076,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-11,1999,11,central_pacific,Central Pacific,190,0,-0.822,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
